mode,contractAnchorDate,marketGroup,area,commodity,pricing,product,maturityType,delivery,requestedTradeDate,windowStartDate,windowEndDate,tradeDate,status,settlementPrice,volume,grossOpenInterest,shortCode,maturity,assumedCode,httpStatus,errorMessage
range,2026-03-20,ICE_COAL_FUTURES,ICE,COAL,F,API2 Rotterdam,Month,Coal Dec-26,,2026-02-05,2026-03-20,2026-03-20,ok,136.05,,,ICE_API2,202612,False,200,
range,2026-03-20,ICE_COAL_FUTURES,ICE,COAL,F,API2 Rotterdam,Month,Coal Dec-26,,2026-02-05,2026-03-20,2026-03-19,ok,138.05,,,ICE_API2,202612,False,200,
range,2026-03-20,ICE_COAL_FUTURES,ICE,COAL,F,API2 Rotterdam,Month,Coal Dec-26,,2026-02-05,2026-03-20,2026-03-18,ok,133.35,,,ICE_API2,202612,False,200,
range,2026-03-20,ICE_COAL_FUTURES,ICE,COAL,F,API2 Rotterdam,Month,Coal Dec-26,,2026-02-05,2026-03-20,2026-03-17,ok,131.2,,,ICE_API2,202612,False,200,
range,2026-03-20,ICE_COAL_FUTURES,ICE,COAL,F,API2 Rotterdam,Month,Coal Dec-26,,2026-02-05,2026-03-20,2026-03-16,ok,128.3,,,ICE_API2,202612,False,200,
range,2026-03-20,ICE_COAL_FUTURES,ICE,COAL,F,API2 Rotterdam,Month,Coal Dec-26,,2026-02-05,2026-03-20,2026-03-13,ok,127.85,,,ICE_API2,202612,False,200,
range,2026-03-20,ICE_COAL_FUTURES,ICE,COAL,F,API2 Rotterdam,Month,Coal Dec-26,,2026-02-05,2026-03-20,2026-03-12,ok,127.95,,,ICE_API2,202612,False,200,
range,2026-03-20,ICE_COAL_FUTURES,ICE,COAL,F,API2 Rotterdam,Month,Coal Dec-26,,2026-02-05,2026-03-20,2026-03-11,ok,126.0,,,ICE_API2,202612,False,200,
range,2026-03-20,ICE_COAL_FUTURES,ICE,COAL,F,API2 Rotterdam,Month,Coal Dec-26,,2026-02-05,2026-03-20,2026-03-10,ok,123.35,,,ICE_API2,202612,False,200,
range,2026-03-20,ICE_COAL_FUTURES,ICE,COAL,F,API2 Rotterdam,Month,Coal Dec-26,,2026-02-05,2026-03-20,2026-03-09,ok,133.85,,,ICE_API2,202612,False,200,
range,2026-03-20,ICE_COAL_FUTURES,ICE,COAL,F,API2 Rotterdam,Month,Coal Dec-26,,2026-02-05,2026-03-20,2026-03-06,ok,127.35,,,ICE_API2,202612,False,200,
range,2026-03-20,ICE_COAL_FUTURES,ICE,COAL,F,API2 Rotterdam,Month,Coal Dec-26,,2026-02-05,2026-03-20,2026-03-05,ok,123.4,,,ICE_API2,202612,False,200,
range,2026-03-20,ICE_COAL_FUTURES,ICE,COAL,F,API2 Rotterdam,Month,Coal Dec-26,,2026-02-05,2026-03-20,2026-03-04,ok,121.3,,,ICE_API2,202612,False,200,
range,2026-03-20,ICE_COAL_FUTURES,ICE,COAL,F,API2 Rotterdam,Month,Coal Dec-26,,2026-02-05,2026-03-20,2026-03-03,ok,126.05,,,ICE_API2,202612,False,200,
