mode,contractAnchorDate,marketGroup,area,commodity,pricing,product,maturityType,delivery,requestedTradeDate,windowStartDate,windowEndDate,tradeDate,status,settlementPrice,volume,grossOpenInterest,shortCode,maturity,assumedCode,httpStatus,errorMessage
range,2026-03-20,GAS_FUTURES,TTF,NATGAS,F,Physical,Month,Gas Month Mar-26,,2026-02-05,2026-03-20,2026-02-05,ok,33.646,3583489,242937,G3BM,202603,False,200,
range,2026-03-20,GAS_FUTURES,TTF,NATGAS,F,Physical,Month,Gas Month Mar-26,,2026-02-05,2026-03-20,2026-02-06,ok,35.684,3844282,245498,G3BM,202603,False,200,
range,2026-03-20,GAS_FUTURES,TTF,NATGAS,F,Physical,Month,Gas Month Mar-26,,2026-02-05,2026-03-20,2026-02-09,ok,33.466,3629555,247968,G3BM,202603,False,200,
range,2026-03-20,GAS_FUTURES,TTF,NATGAS,F,Physical,Month,Gas Month Mar-26,,2026-02-05,2026-03-20,2026-02-10,ok,31.829,3897778,250413,G3BM,202603,False,200,
range,2026-03-20,GAS_FUTURES,TTF,NATGAS,F,Physical,Month,Gas Month Mar-26,,2026-02-05,2026-03-20,2026-02-11,ok,32.122,4322031,254413,G3BM,202603,False,200,
range,2026-03-20,GAS_FUTURES,TTF,NATGAS,F,Physical,Month,Gas Month Mar-26,,2026-02-05,2026-03-20,2026-02-12,ok,33.011,4417135,258184,G3BM,202603,False,200,
range,2026-03-20,GAS_FUTURES,TTF,NATGAS,F,Physical,Month,Gas Month Mar-26,,2026-02-05,2026-03-20,2026-02-13,ok,32.485,4848075,262971,G3BM,202603,False,200,
range,2026-03-20,GAS_FUTURES,TTF,NATGAS,F,Physical,Month,Gas Month Mar-26,,2026-02-05,2026-03-20,2026-02-16,ok,30.878,4591740,265989,G3BM,202603,False,200,
range,2026-03-20,GAS_FUTURES,TTF,NATGAS,F,Physical,Month,Gas Month Mar-26,,2026-02-05,2026-03-20,2026-02-17,ok,29.805,4146683,269680,G3BM,202603,False,200,
range,2026-03-20,GAS_FUTURES,TTF,NATGAS,F,Physical,Month,Gas Month Mar-26,,2026-02-05,2026-03-20,2026-02-18,ok,31.489,3552283,272728,G3BM,202603,False,200,
range,2026-03-20,GAS_FUTURES,TTF,NATGAS,F,Physical,Month,Gas Month Mar-26,,2026-02-05,2026-03-20,2026-02-19,ok,33.542,3142890,275273,G3BM,202603,False,200,
range,2026-03-20,GAS_FUTURES,TTF,NATGAS,F,Physical,Month,Gas Month Mar-26,,2026-02-05,2026-03-20,2026-02-20,ok,31.99,2943766,277704,G3BM,202603,False,200,
range,2026-03-20,GAS_FUTURES,TTF,NATGAS,F,Physical,Month,Gas Month Mar-26,,2026-02-05,2026-03-20,2026-02-23,ok,31.801,4462458,281287,G3BM,202603,False,200,
range,2026-03-20,GAS_FUTURES,TTF,NATGAS,F,Physical,Month,Gas Month Mar-26,,2026-02-05,2026-03-20,2026-02-24,ok,30.924,6489362,287218,G3BM,202603,False,200,
range,2026-03-20,GAS_FUTURES,TTF,NATGAS,F,Physical,Month,Gas Month Mar-26,,2026-02-05,2026-03-20,2026-02-25,ok,31.019,5808031,293448,G3BM,202603,False,200,
range,2026-03-20,GAS_FUTURES,TTF,NATGAS,F,Physical,Month,Gas Month Mar-26,,2026-02-05,2026-03-20,2026-02-26,ok,32.08,3497301,297254,G3BM,202603,False,200,
range,2026-03-20,GAS_FUTURES,TTF,NATGAS,F,Physical,Month,Gas Month Mar-26,,2026-02-05,2026-03-20,2026-02-27,ok,32.08,,297196,G3BM,202603,False,200,
range,2026-03-20,GAS_FUTURES,TTF,NATGAS,F,Physical,Month,Gas Month Mar-26,,2026-02-05,2026-03-20,2026-03-02,ok,,,,G3BM,202603,False,200,
range,2026-03-20,GAS_FUTURES,TTF,NATGAS,F,Physical,Month,Gas Month Mar-26,,2026-02-05,2026-03-20,2026-03-03,ok,,,297196,G3BM,202603,False,200,
range,2026-03-20,GAS_FUTURES,TTF,NATGAS,F,Physical,Month,Gas Month Mar-26,,2026-02-05,2026-03-20,2026-03-04,ok,,,297196,G3BM,202603,False,200,
